Service,Event Names,Description
acm,ListTagsForCertificate,"<p>Lists the tags that have been applied to the ACM certificate. Use the certificate's Amazon Resource Name (ARN) to specify the certificate. To add a tag to an ACM certificate, use the <a>AddTagsToCertificate</a> action. To delete a tag, use the <a>RemoveTagsFromCertificate</a> action. </p>"
acm,PutAccountConfiguration,
acm,RemoveTagsFromCertificate,
acm,RenewCertificate,
acm,RequestCertificate,"<p>Requests an ACM certificate for use with other Amazon Web Services services. To request an ACM certificate, you must specify a fully qualified domain name (FQDN) in the <code>DomainName</code> parameter. You can also specify additional FQDNs in the <code>SubjectAlternativeNames</code> parameter. </p> <p>If you are requesting a private certificate, domain validation is not required. If you are requesting a public certificate, each domain name that you specify must be validated to verify that you own or control the domain. You can use <a href=https://docs.aws.amazon.com/acm/latest/userguide/gs-acm-validate-dns.html"">DNS validation</a> or <a href=""https://docs.aws.amazon.com/acm/latest/userguide/gs-acm-validate-email.html"">email validation</a>. We recommend that you use DNS validation. ACM issues public certificates after receiving approval from the domain owner. </p> <note> <p>ACM behavior differs from the <a href=""https://tools.ietf.org/html/rfc6125#appendix-B.2"">https://tools.ietf.org/html/rfc6125#appendix-B.2</a>RFC 6125 specification of the certificate validation process. first checks for a subject alternative name  and  if it finds one  ignores the common name (CN)</p> </note>"""
acm,ResendValidationEmail,
amp,CreateAlertManagerDefinition,<p>Create an alert manager definition.</p>
amp,CreateRuleGroupsNamespace,<p>Create a rule group namespace.</p>
amp,CreateWorkspace,<p>Creates a new AMP workspace.</p>
amp,DeleteAlertManagerDefinition,
amp,DeleteRuleGroupsNamespace,
amp,DeleteWorkspace,
amp,DescribeAlertManagerDefinition,<p>Describes an alert manager definition.</p>
amp,DescribeRuleGroupsNamespace,<p>Describe a rule groups namespace.</p>
amp,DescribeWorkspace,<p>Describes an existing AMP workspace.</p>
amp,ListRuleGroupsNamespaces,<p>Lists rule groups namespaces.</p>
amp,ListTagsForResource,<p>Lists the tags you have assigned to the resource.</p>
amp,ListWorkspaces,"<p>Lists all AMP workspaces, including workspaces being created or deleted.</p>"
amp,PutAlertManagerDefinition,<p>Update an alert manager definition.</p>
amp,PutRuleGroupsNamespace,<p>Update a rule groups namespace.</p>
amp,TagResource,<p>Creates tags for the specified resource.</p>
amp,UntagResource,<p>Deletes tags from the specified resource.</p>
amplify,CreateApp,<p> Creates a new Amplify app. </p>
amplify,CreateBackendEnvironment,<p> Creates a new backend environment for an Amplify app. </p>
amplify,CreateBranch,<p> Creates a new branch for an Amplify app. </p>
amplify,CreateDeployment,<p> Creates a deployment for a manually deployed Amplify app. Manually deployed apps are not connected to a repository. </p>
amplify,CreateDomainAssociation,<p> Creates a new domain association for an Amplify app. This action associates a custom domain with the Amplify app </p>
amplify,CreateWebhook,<p> Creates a new webhook on an Amplify app. </p>
amplify,DeleteApp,<p> Deletes an existing Amplify app specified by an app ID. </p>
amplify,DeleteBackendEnvironment,<p> Deletes a backend environment for an Amplify app. </p>
amplify,DeleteBranch,<p> Deletes a branch for an Amplify app. </p>
amplify,DeleteDomainAssociation,<p> Deletes a domain association for an Amplify app. </p>
amplify,DeleteJob,<p> Deletes a job for a branch of an Amplify app. </p>
amplify,DeleteWebhook,<p> Deletes a webhook. </p>
amplify,GenerateAccessLogs,<p> Returns the website access logs for a specific time range using a presigned URL. </p>
amplify,GetApp,<p> Returns an existing Amplify app by appID. </p>
amplify,GetArtifactUrl,<p> Returns the artifact info that corresponds to an artifact id. </p>
amplify,GetBackendEnvironment,<p> Returns a backend environment for an Amplify app. </p>
amplify,GetBranch,<p> Returns a branch for an Amplify app. </p>
amplify,GetDomainAssociation,<p> Returns the domain information for an Amplify app. </p>
amplify,GetJob,<p> Returns a job for a branch of an Amplify app. </p>
amplify,GetWebhook,<p> Returns the webhook information that corresponds to a specified webhook ID. </p>
amplify,ListApps,<p> Returns a list of the existing Amplify apps. </p>
amplify,ListArtifacts,"<p> Returns a list of artifacts for a specified app, branch, and job. </p>"
amplify,ListBackendEnvironments,<p> Lists the backend environments for an Amplify app. </p>
amplify,ListBranches,<p> Lists the branches of an Amplify app. </p>
amplify,ListDomainAssociations,<p> Returns the domain associations for an Amplify app. </p>
amplify,ListJobs,<p> Lists the jobs for a branch of an Amplify app. </p>
amplify,ListTagsForResource,<p> Returns a list of tags for a specified Amazon Resource Name (ARN). </p>
amplify,ListWebhooks,<p> Returns a list of webhooks for an Amplify app. </p>
amplify,StartDeployment,<p> Starts a deployment for a manually deployed app. Manually deployed apps are not connected to a repository. </p>
amplify,StartJob,<p> Starts a new job for a branch of an Amplify app. </p>
amplify,StopJob,<p> Stops a job that is in progress for a branch of an Amplify app. </p>
amplify,TagResource,<p> Tags the resource with a tag key and value. </p>
amplify,UntagResource,<p> Untags a resource with a specified Amazon Resource Name (ARN). </p>
amplify,UpdateApp,<p> Updates an existing Amplify app. </p>
amplify,UpdateBranch,<p> Updates a branch for an Amplify app. </p>
amplify,UpdateDomainAssociation,<p> Creates a new domain association for an Amplify app.</p>
amplifybackend,CloneBackend,<p>This operation clones an existing backend.</p>
amplifybackend,CreateBackend,<p>This operation creates a backend for an Amplify app. Backends are automatically created at the time of app creation.</p>
amplifybackend,CreateBackendAPI,<p>Creates a new backend API resource.</p>
amplifybackend,CreateBackendAuth,<p>Creates a new backend authentication resource.</p>
amplifybackend,CreateBackendConfig,<p>Creates a config object for a backend.</p>
amplifybackend,CreateToken,<p>Generates a one-time challenge code to authenticate a user into your Amplify Admin UI.</p>
amplifybackend,DeleteBackend,<p>Removes an existing environment from your Amplify project.</p>
amplifybackend,DeleteBackendAPI,<p>Deletes an existing backend API resource.</p>
amplifybackend,DeleteBackendAuth,<p>Deletes an existing backend authentication resource.</p>
amplifybackend,DeleteToken,<p>Deletes the challenge token based on the given appId and sessionId.</p>
amplifybackend,GenerateBackendAPIModels,<p>Generates a model schema for an existing backend API resource.</p>
amplifybackend,GetBackend,<p>Provides project-level details for your Amplify UI project.</p>
amplifybackend,GetBackendAPI,<p>Gets the details for a backend API.</p>
amplifybackend,GetBackendAPIModels,<p>Generates a model schema for existing backend API resource.</p>
amplifybackend,GetBackendAuth,<p>Gets a backend auth details.</p>
amplifybackend,GetBackendJob,<p>Returns information about a specific job.</p>
amplifybackend,GetToken,<p>Gets the challenge token based on the given appId and sessionId.</p>
amplifybackend,ImportBackendAuth,<p>Imports an existing backend authentication resource.</p>
amplifybackend,ListBackendJobs,<p>Lists the jobs for the backend of an Amplify app.</p>
amplifybackend,RemoveAllBackends,<p>Removes all backend environments from your Amplify project.</p>
amplifybackend,RemoveBackendConfig,<p>Removes the AWS resources required to access the Amplify Admin UI.</p>
amplifybackend,UpdateBackendAPI,<p>Updates an existing backend API resource.</p>
amplifybackend,UpdateBackendAuth,<p>Updates an existing backend authentication resource.</p>
amplifybackend,UpdateBackendConfig,<p>Updates the AWS resources required to access the Amplify Admin UI.</p>
apigateway,CreateApiKey,"<p>Create an <a>ApiKey</a> resource. </p> <div class=seeAlso""><a href=""https://docs.aws.amazon.com/cli/latest/reference/apigateway/create-api-key.html"">AWS CLI</a></div>"""
apigateway,CreateAuthorizer,"<p>Adds a new <a>Authorizer</a> resource to an existing <a>RestApi</a> resource.</p> <div class=seeAlso""><a href=""https://docs.aws.amazon.com/cli/latest/reference/apigateway/create-authorizer.html"">AWS CLI</a></div>"""
apigateway,CreateBasePathMapping,<p>Creates a new <a>BasePathMapping</a> resource.</p>
apigateway,CreateDeployment,"<p>Creates a <a>Deployment</a> resource, which makes a specified <a>RestApi</a> callable over the internet.</p>"
apigateway,CreateDocumentationPart,
apigateway,CreateDocumentationVersion,
apigateway,CreateDomainName,<p>Creates a new domain name.</p>
apigateway,CreateModel,<p>Adds a new <a>Model</a> resource to an existing <a>RestApi</a> resource.</p>
apigateway,CreateRequestValidator,<p>Creates a <a>ReqeustValidator</a> of a given <a>RestApi</a>.</p>
apigateway,CreateResource,<p>Creates a <a>Resource</a> resource.</p>
apigateway,CreateRestApi,<p>Creates a new <a>RestApi</a> resource.</p>
apigateway,CreateStage,<p>Creates a new <a>Stage</a> resource that references a pre-existing <a>Deployment</a> for the API. </p>
apigateway,CreateUsagePlan,"<p>Creates a usage plan with the throttle and quota limits, as well as the associated API stages, specified in the payload. </p>"
apigateway,CreateUsagePlanKey,<p>Creates a usage plan key for adding an existing API key to a usage plan.</p>
apigateway,CreateVpcLink,"<p>Creates a VPC link, under the caller's account in a selected region, in an asynchronous operation that typically takes 2-4 minutes to complete and become operational. The caller must have permissions to create and update VPC Endpoint services.</p>"
apigateway,DeleteApiKey,
apigateway,DeleteAuthorizer,
apigateway,DeleteBasePathMapping,
apigateway,DeleteClientCertificate,
apigateway,DeleteDeployment,
apigateway,DeleteDocumentationPart,
apigateway,DeleteDocumentationVersion,
apigateway,DeleteDomainName,
apigateway,DeleteGatewayResponse,
apigateway,DeleteIntegration,
apigateway,DeleteIntegrationResponse,
apigateway,DeleteMethod,
apigateway,DeleteMethodResponse,
apigateway,DeleteModel,
apigateway,DeleteRequestValidator,
apigateway,DeleteResource,
apigateway,DeleteRestApi,
apigateway,DeleteStage,
apigateway,DeleteUsagePlan,
apigateway,DeleteUsagePlanKey,
apigateway,DeleteVpcLink,
apigateway,FlushStageAuthorizersCache,
apigateway,FlushStageCache,
apigateway,GenerateClientCertificate,<p>Generates a <a>ClientCertificate</a> resource.</p>
apigateway,GetAccount,<p>Gets information about the current <a>Account</a> resource.</p>
apigateway,GetApiKey,<p>Gets information about the current <a>ApiKey</a> resource.</p>
apigateway,GetApiKeys,<p>Gets information about the current <a>ApiKeys</a> resource.</p>
apigateway,GetAuthorizer,"<p>Describe an existing <a>Authorizer</a> resource.</p> <div class=seeAlso""><a href=""https://docs.aws.amazon.com/cli/latest/reference/apigateway/get-authorizer.html"">AWS CLI</a></div>"""
apigateway,GetAuthorizers,"<p>Describe an existing <a>Authorizers</a> resource.</p> <div class=seeAlso""><a href=""https://docs.aws.amazon.com/cli/latest/reference/apigateway/get-authorizers.html"">AWS CLI</a></div>"""
apigateway,GetBasePathMapping,<p>Describe a <a>BasePathMapping</a> resource.</p>
apigateway,GetBasePathMappings,<p>Represents a collection of <a>BasePathMapping</a> resources.</p>
apigateway,GetClientCertificate,<p>Gets information about the current <a>ClientCertificate</a> resource.</p>
apigateway,GetClientCertificates,<p>Gets a collection of <a>ClientCertificate</a> resources.</p>
apigateway,GetDeployment,<p>Gets information about a <a>Deployment</a> resource.</p>
apigateway,GetDeployments,<p>Gets information about a <a>Deployments</a> collection.</p>
apigateway,GetDocumentationPart,
apigateway,GetDocumentationParts,
apigateway,GetDocumentationVersion,
apigateway,GetDocumentationVersions,
apigateway,GetDomainName,"<p>Represents a domain name that is contained in a simpler, more intuitive URL that can be called.</p>"
apigateway,GetDomainNames,<p>Represents a collection of <a>DomainName</a> resources.</p>
apigateway,GetExport,<p>Exports a deployed version of a <a>RestApi</a> in a specified format.</p>
apigateway,GetGatewayResponse,<p>Gets a <a>GatewayResponse</a> of a specified response type on the given <a>RestApi</a>.</p>
apigateway,GetGatewayResponses,"<p>Gets the <a>GatewayResponses</a> collection on the given <a>RestApi</a>. If an API developer has not added any definitions for gateway responses, the result will be the API Gateway-generated default <a>GatewayResponses</a> collection for the supported response types.</p>"
apigateway,GetIntegration,<p>Get the integration settings.</p>
apigateway,GetIntegrationResponse,<p>Represents a get integration response.</p>
apigateway,GetMethod,<p>Describe an existing <a>Method</a> resource.</p>
apigateway,GetMethodResponse,<p>Describes a <a>MethodResponse</a> resource.</p>
apigateway,GetModel,<p>Describes an existing model defined for a <a>RestApi</a> resource.</p>
apigateway,GetModelTemplate,<p>Generates a sample mapping template that can be used to transform a payload into the structure of a model.</p>
apigateway,GetModels,<p>Describes existing <a>Models</a> defined for a <a>RestApi</a> resource.</p>
apigateway,GetRequestValidator,<p>Gets a <a>RequestValidator</a> of a given <a>RestApi</a>.</p>
apigateway,GetRequestValidators,<p>Gets the <a>RequestValidators</a> collection of a given <a>RestApi</a>.</p>
apigateway,GetResource,<p>Lists information about a resource.</p>
apigateway,GetResources,<p>Lists information about a collection of <a>Resource</a> resources.</p>
apigateway,GetRestApi,<p>Lists the <a>RestApi</a> resource in the collection.</p>
apigateway,GetRestApis,<p>Lists the <a>RestApis</a> resources for your collection.</p>
apigateway,GetSdk,<p>Generates a client SDK for a <a>RestApi</a> and <a>Stage</a>.</p>
apigateway,GetSdkType,
apigateway,GetSdkTypes,
apigateway,GetStage,<p>Gets information about a <a>Stage</a> resource.</p>
apigateway,GetStages,<p>Gets information about one or more <a>Stage</a> resources.</p>
apigateway,GetTags,<p>Gets the <a>Tags</a> collection for a given resource.</p>
apigateway,GetUsage,<p>Gets the usage data of a usage plan in a specified time interval.</p>
apigateway,GetUsagePlan,<p>Gets a usage plan of a given plan identifier.</p>
apigateway,GetUsagePlanKey,<p>Gets a usage plan key of a given key identifier.</p>
apigateway,GetUsagePlanKeys,<p>Gets all the usage plan keys representing the API keys added to a specified usage plan.</p>
apigateway,GetUsagePlans,<p>Gets all the usage plans of the caller's account.</p>
apigateway,GetVpcLink,<p>Gets a specified VPC link under the caller's account in a region.</p>
apigateway,GetVpcLinks,<p>Gets the <a>VpcLinks</a> collection under the caller's account in a selected region.</p>
apigateway,ImportApiKeys,"<p>Import API keys from an external source, such as a CSV-formatted file.</p>"
apigateway,ImportDocumentationParts,
apigateway,ImportRestApi,<p>A feature of the API Gateway control service for creating a new API from an external API definition file.</p>
apigateway,PutGatewayResponse,<p>Creates a customization of a <a>GatewayResponse</a> of a specified response type and status code on the given <a>RestApi</a>.</p>
apigateway,PutIntegration,<p>Sets up a method's integration.</p>
apigateway,PutIntegrationResponse,<p>Represents a put integration.</p>
apigateway,PutMethod,<p>Add a method to an existing <a>Resource</a> resource.</p>
apigateway,PutMethodResponse,<p>Adds a <a>MethodResponse</a> to an existing <a>Method</a> resource.</p>
apigateway,PutRestApi,<p>A feature of the API Gateway control service for updating an existing API with an input of external API definitions. The update can take the form of merging the supplied definition into the existing API or overwriting the existing API.</p>
apigateway,TagResource,
apigateway,TestInvokeAuthorizer,"<p>Simulate the execution of an <a>Authorizer</a> in your <a>RestApi</a> with headers, parameters, and an incoming request body.</p> <div class=seeAlso""> <a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-use-lambda-authorizer.html"">Use Lambda Function as Authorizer</a> <a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-integrate-with-cognito.html"">Use Cognito User Pool as Authorizer</a> </div>"""
apigateway,TestInvokeMethod,"<p>Simulate the execution of a <a>Method</a> in your <a>RestApi</a> with headers, parameters, and an incoming request body.</p>"
apigateway,UntagResource,
apigateway,UpdateAccount,<p>Changes information about the current <a>Account</a> resource.</p>
apigateway,UpdateApiKey,<p>Changes information about an <a>ApiKey</a> resource.</p>
apigateway,UpdateAuthorizer,"<p>Updates an existing <a>Authorizer</a> resource.</p> <div class=seeAlso""><a href=""https://docs.aws.amazon.com/cli/latest/reference/apigateway/update-authorizer.html"">AWS CLI</a></div>"""
apigateway,UpdateBasePathMapping,<p>Changes information about the <a>BasePathMapping</a> resource.</p>
apigateway,UpdateClientCertificate,<p>Changes information about an <a>ClientCertificate</a> resource.</p>
apigateway,UpdateDeployment,<p>Changes information about a <a>Deployment</a> resource.</p>
apigateway,UpdateDocumentationPart,
apigateway,UpdateDocumentationVersion,
apigateway,UpdateDomainName,<p>Changes information about the <a>DomainName</a> resource.</p>
apigateway,UpdateGatewayResponse,<p>Updates a <a>GatewayResponse</a> of a specified response type on the given <a>RestApi</a>.</p>
apigateway,UpdateIntegration,<p>Represents an update integration.</p>
apigateway,UpdateIntegrationResponse,<p>Represents an update integration response.</p>
apigateway,UpdateMethod,<p>Updates an existing <a>Method</a> resource.</p>
apigateway,UpdateMethodResponse,<p>Updates an existing <a>MethodResponse</a> resource.</p>
apigateway,UpdateModel,<p>Changes information about a model.</p>
apigateway,UpdateRequestValidator,<p>Updates a <a>RequestValidator</a> of a given <a>RestApi</a>.</p>
apigateway,UpdateResource,<p>Changes information about a <a>Resource</a> resource.</p>
apigateway,UpdateRestApi,<p>Changes information about the specified API.</p>
apigateway,UpdateStage,<p>Changes information about a <a>Stage</a> resource.</p>
apigateway,UpdateUsage,<p>Grants a temporary extension to the remaining quota of a usage plan associated with a specified API key.</p>
apigateway,UpdateUsagePlan,<p>Updates a usage plan of a given plan Id.</p>
apigatewaymanagementapi,DeleteConnection,
apigatewaymanagementapi,GetConnection,<p>Get information about the connection with the provided id.</p>
apigatewayv2,CreateApi,<p>Creates an Api resource.</p>
apigatewayv2,CreateApiMapping,<p>Creates an API mapping.</p>
apigatewayv2,CreateAuthorizer,<p>Creates an Authorizer for an API.</p>
apigatewayv2,CreateDeployment,<p>Creates a Deployment for an API.</p>
apigatewayv2,CreateDomainName,<p>Creates a domain name.</p>
apigatewayv2,CreateIntegration,<p>Creates an Integration.</p>
apigatewayv2,CreateIntegrationResponse,<p>Creates an IntegrationResponses.</p>
apigatewayv2,CreateModel,<p>Creates a Model for an API.</p>
apigatewayv2,CreateRoute,<p>Creates a Route for an API.</p>
apigatewayv2,CreateRouteResponse,<p>Creates a RouteResponse for a Route.</p>
apigatewayv2,CreateStage,<p>Creates a Stage for an API.</p>
apigatewayv2,CreateVpcLink,<p>Creates a VPC link.</p>
apigatewayv2,DeleteAccessLogSettings,
apigatewayv2,DeleteApi,
apigatewayv2,DeleteApiMapping,
apigatewayv2,DeleteAuthorizer,
apigatewayv2,DeleteCorsConfiguration,
apigatewayv2,DeleteDeployment,
apigatewayv2,DeleteDomainName,
apigatewayv2,DeleteIntegration,
apigatewayv2,DeleteIntegrationResponse,
apigatewayv2,DeleteModel,
apigatewayv2,DeleteRoute,
apigatewayv2,DeleteRouteRequestParameter,
apigatewayv2,DeleteRouteResponse,
apigatewayv2,DeleteRouteSettings,
apigatewayv2,DeleteStage,
apigatewayv2,DeleteVpcLink,<p>Deletes a VPC link.</p>
apigatewayv2,ExportApi,
apigatewayv2,ResetAuthorizersCache,
apigatewayv2,GetApi,<p>Gets an Api resource.</p>
apigatewayv2,GetApiMapping,<p>Gets an API mapping.</p>
apigatewayv2,GetApiMappings,<p>Gets API mappings.</p>
apigatewayv2,GetApis,<p>Gets a collection of Api resources.</p>
apigatewayv2,GetAuthorizer,<p>Gets an Authorizer.</p>
apigatewayv2,GetAuthorizers,<p>Gets the Authorizers for an API.</p>
apigatewayv2,GetDeployment,<p>Gets a Deployment.</p>
apigatewayv2,GetDeployments,<p>Gets the Deployments for an API.</p>
apigatewayv2,GetDomainName,<p>Gets a domain name.</p>
apigatewayv2,GetDomainNames,<p>Gets the domain names for an AWS account.</p>
apigatewayv2,GetIntegration,<p>Gets an Integration.</p>
apigatewayv2,GetIntegrationResponse,<p>Gets an IntegrationResponses.</p>
apigatewayv2,GetIntegrationResponses,<p>Gets the IntegrationResponses for an Integration.</p>
apigatewayv2,GetIntegrations,<p>Gets the Integrations for an API.</p>
apigatewayv2,GetModel,<p>Gets a Model.</p>
apigatewayv2,GetModelTemplate,<p>Gets a model template.</p>
apigatewayv2,GetModels,<p>Gets the Models for an API.</p>
apigatewayv2,GetRoute,<p>Gets a Route.</p>
apigatewayv2,GetRouteResponse,<p>Gets a RouteResponse.</p>
apigatewayv2,GetRouteResponses,<p>Gets the RouteResponses for a Route.</p>
apigatewayv2,GetRoutes,<p>Gets the Routes for an API.</p>
apigatewayv2,GetStage,<p>Gets a Stage.</p>
apigatewayv2,GetStages,<p>Gets the Stages for an API.</p>
apigatewayv2,GetTags,<p>Gets a collection of Tag resources.</p>
apigatewayv2,GetVpcLink,<p>Gets a VPC link.</p>
apigatewayv2,GetVpcLinks,<p>Gets a collection of VPC links.</p>
apigatewayv2,ImportApi,<p>Imports an API.</p>
apigatewayv2,ReimportApi,<p>Puts an Api resource.</p>
apigatewayv2,TagResource,<p>Creates a new Tag resource to represent a tag.</p>
apigatewayv2,UntagResource,
apigatewayv2,UpdateApi,<p>Updates an Api resource.</p>
apigatewayv2,UpdateApiMapping,<p>The API mapping.</p>
apigatewayv2,UpdateAuthorizer,<p>Updates an Authorizer.</p>
apigatewayv2,UpdateDeployment,<p>Updates a Deployment.</p>
apigatewayv2,UpdateDomainName,<p>Updates a domain name.</p>
apigatewayv2,UpdateIntegration,<p>Updates an Integration.</p>
apigatewayv2,UpdateIntegrationResponse,<p>Updates an IntegrationResponses.</p>
apigatewayv2,UpdateModel,<p>Updates a Model.</p>
apigatewayv2,UpdateRoute,<p>Updates a Route.</p>
apigatewayv2,UpdateRouteResponse,<p>Updates a RouteResponse.</p>
apigatewayv2,UpdateStage,<p>Updates a Stage.</p>
appconfig,CreateApplication,"<p>An application in AppConfig is a logical unit of code that provides capabilities for your customers. For example, an application can be a microservice that runs on Amazon EC2 instances, a mobile application installed by your users, a serverless application using Amazon API Gateway and AWS Lambda, or any system you run on behalf of others.</p>"
appconfig,CreateConfigurationProfile,"<p>Information that enables AppConfig to access the configuration source. Valid configuration sources include Systems Manager (SSM) documents, SSM Parameter Store parameters, and Amazon S3 objects. A configuration profile includes the following information.</p> <ul> <li> <p>The Uri location of the configuration data.</p> </li> <li> <p>The AWS Identity and Access Management (IAM) role that provides access to the configuration data.</p> </li> <li> <p>A validator for the configuration data. Available validators include either a JSON Schema or an AWS Lambda function.</p> </li> </ul> <p>For more information, see <a href=http://docs.aws.amazon.com/systems-manager/latest/userguide/appconfig-creating-configuration-and-profile.html"">Create a Configuration and a Configuration Profile</a> in the <i>AWS AppConfig User Guide</i>.</p>"""
